code,name,batch,stock,deal,free,mrp,rate,exp,supplier,company
KNCPS,CREMAFFIN PINK SYR(M.F),CFB038,-60,0,0,191.84,137.03,1/5/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0041,3,0,0,191.84,137.03,1/5/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
ECAM2,ASOMEX 2.5MG TAB,E16AP19027,16,0,0,91.2,65.14,1/5/2023,EMCURE PHARMACEUTICALS LTD  HYDERABAD,EMCURE PHARMACEUTICALS LTD
USGM5,GLYCOMET 500MG TABS **,28020752,-5,0,0,16.8,12,1/5/2023,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0040,-3,0,0,191.84,137.03,1/5/2023,VIJAYA DURGA AGENCIES   VIJAYAWADA,ABBOTT (GASTROCARE)
GMPD2,PROLUTON DEPOT 250 AMP,G902869,29,9,1,173.2,123.71,1/5/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,GERMAN REMADIES (GYNNEXT)
TOBC5,BETACARD-50MG TAB,2172F003,25,0,0,27.35,19.54,30/04/2023,TORRENT PHARMACEUTICALS LTD   HYDERABAD,TORRENT PHARMACEUTICALS LTD
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0027,1,0,0,191.84,137.03,1/4/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
DPKTA,KETOROL AMP,V0115,20,9,1,27.5,19.64,1/4/2023,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(RECURA ACE)
ISFBP,FEBREX PLUS TAB,FEK2EBC4,-1,9,1,50.9,36.36,1/4/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (SPADE)
ISFBP,FEBREX PLUS TAB,FEK2EBC4,3,9,1,50.9,36.36,1/4/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (SPADE)
MIDPT,DOLOPAR TAB***,DOCS0117,-2,4,1,45,32.15,1/4/2023,LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR,MICRO LABS
USGM2,GLYCOMET 250MG TABS **,28020627,-2,0,0,13,9.29,1/4/2023,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
USGM2,GLYCOMET 250MG TABS **,28020626,2,0,0,13,9.29,1/4/2023,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
USGM5,GLYCOMET 500MG TABS **,28020705,5,0,0,16.8,12,1/4/2023,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
USGGP,GLYCOMET-GP 1MG **,28020626,-40,0,0,96.63,69.02,1/4/2023,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0031,-1,0,0,191.84,137.03,1/4/2023,SARADA PHARMACY      MADHIRA,ABBOTT (GASTROCARE)
RAZFO,ZOLE-F OINTMENT,G34020,3,0,0,81,57.86,1/4/2023,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET,RANBAXY(MAXXIM)
DPKTA,KETOROL AMP,V0082,-20,9,1,27.5,19.64,1/3/2023,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(RECURA ACE)
INCTS,CITAL SYR,CNB6DBC7,-5,7,1,82,58.57,1/3/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO
ISFBP,FEBREX PLUS TAB,FEK2DBC4,-5,9,1,50.9,36.36,1/3/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (SPADE)
ISFBP,FEBREX PLUS TAB,FEK10DBC4,3,9,1,50.9,36.36,1/3/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (SPADE)
IVCS1,CAL SHAKTI,T2000531,7,5,1,160,128,1/3/2023,INTAS PHARMCEUTICALS LTD      HYDERABAD,INTAS PHARMA (BOVICURRA)
UQNR1,NICARDIA-RTD 10MG T,ACG0006,96,0,0,35.16,25.12,1/3/2023,J.B.CHEMICALS AND PHARMA      SECUNDERABAD,J.B. CHE&PHARMA LIMITED  (VIVA)
UQNR1,NICARDIA-RTD 10MG T,ACG20006,-96,0,0,35.16,25.12,1/3/2023,J.B.CHEMICALS AND PHARMA      SECUNDERABAD,J.B. CHE&PHARMA LIMITED  (VIVA)
SNOT2,OXETOL 300MG TABS **,EMX1037,1,0,0,94,67.14,1/3/2023,PRUDHVI AGENCIES VIJAYAWADA,SUN PHARMACEUTICAL I LTD
AJMTX,MET XL 25 TABS**,GT0380D,-4,0,0,90.05,64.32,1/3/2023,PRUDHVI PHARMACEUTICALS VIJAYAWADA,GENARAL COMPANY
AJMTX,MET XL 25 TABS**,GT0390D,4,0,0,90.05,64.32,1/3/2023,PRUDHVI PHARMACEUTICALS VIJAYAWADA,GENARAL COMPANY
RAZFO,ZOLE-F OINTMENT,G30520,-3,0,0,81,57.86,1/3/2023,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET,RANBAXY(MAXXIM)
SDNNA,NAPROSYN 500MG TABS**,02N20037,20,0,0,57.05,40.75,1/3/2023,TRINETRA PHARMA    HYDERABAD,SANDOZ INDIA LTD
SDNNA,NAPROSYN 500MG TABS**,02N20042,-20,0,0,57.05,40.75,1/3/2023,TRINETRA PHARMA    HYDERABAD,SANDOZ INDIA LTD
H&HDER,DERMADEW SOAP,B213,3,0,0,149,101.02,1/3/2023,VEGAVAAN PHARMA      SECUNDERABAD,H&H PHARMA (HEALTHCARE)
VERFT,FEPANIL 650 TAB,FCTS20D05,20,10,2,30.7,21.93,1/3/2023,VERITAZ HEALTHCARE LIMITED    HYDERABAD,VERITAZ HEALTHCARE LIMITED
CCAT4,ASTHALIN 4MG TAB,K400054,300,0,0,6.01,4.29,28/02/2023,CIPLA LIMITED  HYDERABAD,CIPLA (SPEETRACARE-2)
BTISG,INSUGEN-30/70 INJ,19ITF40002,100,0,0,154,123.2,1/2/2023,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD,BIOCON
BTISG,INSUGEN-30/70 INJ,V19ITF4000,-100,0,0,154,123.2,1/2/2023,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD,BIOCON
INCTS,CITAL SYR,CNB6CBA1,5,7,1,82,58.57,1/2/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO
IVCS1,CAL SHAKTI,T2000530,-7,5,1,160,128,1/2/2023,INTAS PHARMCEUTICALS LTD      HYDERABAD,INTAS PHARMA (BOVICURRA)
MASRD,SERAX-D TAB,KW20001,240,10,1,89,63.57,1/2/2023,MARS PHARMA PRIVATE LIMITED HYDERABAD,MARS TERAPEUTICS & CHEMICALS LTD
IPCALAR,LARIAGO AMP **,DS120001D,-8,0,0,19,14.5,1/2/2023,PRUDHVI AGENCIES VIJAYAWADA,IPCA
IPCALAR,LARIAGO AMP **,DS120004D,9,0,0,19,14.5,1/2/2023,PRUDHVI AGENCIES VIJAYAWADA,IPCA
IPCALAR,LARIAGO AMP **,DS12003D,-9,0,0,19,14.5,1/2/2023,PRUDHVI AGENCIES VIJAYAWADA,IPCA
SPCXT,COFEX TAB,21TCF036,-13,10,3,30,21.42,1/2/2023,SAPCO LABORATORIES(P) LIMITED NELLORE,SAPCO LABORATORIES P LTD
VERFP,FEPANIL TABS,FTV20C07,128,10,2,14.71,10.51,1/2/2023,VERITAZ HEALTHCARE LIMITED    HYDERABAD,VERITAZ HEALTHCARE LIMITED
CYDXT,DEXONA TAB,BEW1088,-90,0,0,6.38,4.56,1/2/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,ZYDUS GEO
CCAT4,ASTHALIN 4MG TAB,K400041,60,0,0,6.01,4.29,31/01/2023,CIPLA LIMITED  HYDERABAD,CIPLA (SPEETRACARE-2)
DPKDT,KETOROL-DT TAB,E000289,27,0,0,110.55,78.97,31/01/2023,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(RECURA ACE)
DRNS2,NISE TAB,E000233,4,0,0,81.4,58.14,31/01/2023,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(AQURA+SG)
DRNS2,NISE TAB,E000323,-4,0,0,81.4,58.14,31/01/2023,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(AQURA+SG)
MLOGM,ORCERIN-GM TABS,KOO2003A,30,0,0,217,155,31/01/2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (GENCARE)
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0013,240,0,0,191.84,137.03,1/1/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
KNCFP,CREMAFFIN PLUS SYR,140559D7,60,0,0,203.41,145.29,1/1/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
KNDOT,DIGENE ORANGE TAB,140110D7,90,9,1,18.15,12.96,1/1/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (CONSUMER CARE)
KLPT2,PROTHIADEN 25MG TAB,ADF0057,30,0,0,121.55,86.82,1/1/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (NEUROLIFE)
AVT24,VERTIN 24MG TAB,RBIC0001,10,0,0,351.04,250.74,1/1/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (NEUROLIFE)
AVT24,VERTIN 24MG TAB,RBIC0001A,-10,0,0,351.04,250.74,1/1/2023,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (NEUROLIFE)
ACACD,ATECARD-D TAB,2008000188,32,0,0,71.5,51.07,1/1/2023,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC  (DABUR) INDIA LIMITED
GUSPS,SEPTRAN (P) SYR,SDS11B20,-358,0,0,17.92,13.59,1/1/2023,AUROBINDO DRUGS  VIJAYAWADA,KOYE PHARMA
PTAZ5,AZEE 500MG TAB,SN00452,6,11,1,116.7,83.36,1/1/2023,CIPLA LIMITED  HYDERABAD,CIPLA (INSPIRA)
DRAT2,ATARAX SYRUP,LI0320015,-3,0,0,83,59.29,1/1/2023,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR REDDYYS (GRANDERA)
ERGSM2,GLIMISAVE M2 TAB,GGLV20004,20,0,0,151.52,108.23,1/1/2023,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS LIFESCIENCES PVT LTD
ERGSM2,GLIMISAVE M2 TAB,GGLV20005,10,0,0,151.52,108.23,1/1/2023,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS LIFESCIENCES PVT LTD
ERGLS,GLIMISAVE M3 TAB,GGIM20002,10,0,0,148.82,106.3,1/1/2023,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS LIFESCIENCES PVT LTD
ERIME,METAFORT G 853 TABS,GMOG20001,10,0,0,120.78,86.27,1/1/2023,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS  (ADURA)
GECP6,CALPOL 650MG TABS,EB439,900,7,1,30.24,21.6,1/1/2023,GLAXOSMITHKLINE PHARMA LIM   HYDERABADA,GLAXOSMITHKLINE(FORTIOR)
INTZT,TRIZ TAB,TBA1BB3,100,9,1,18.14,12.96,1/1/2023,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO
FTSCF,SUCRAFIL SYRUP ***,G3053,60,9,1,149,106.43,1/1/2023,LAKSHMI BALAJI CORPORATION VIJAYAWADA,FOURRTS
MADMS,DM SYRUP,BM10007,120,9,1,55,39.29,1/1/2023,MARS PHARMA PRIVATE LIMITED HYDERABAD,MARS TERAPEUTICS & CHEMICALS LTD
MASX5,SERAX 5MG TAB,KK20001,180,10,1,52,37.14,1/1/2023,MARS PHARMA PRIVATE LIMITED HYDERABAD,MARS TERAPEUTICS & CHEMICALS LTD
MASF1,SERAX FORTE 10MG TAB,KL20001,137,10,1,83,59.29,1/1/2023,MARS PHARMA PRIVATE LIMITED HYDERABAD,MARS TERAPEUTICS & CHEMICALS LTD
MASDT,SPANDRIL TAB,BM21003,50,10,1,70,50,1/1/2023,MARS PHARMA PRIVATE LIMITED HYDERABAD,MARS TERAPEUTICS & CHEMICALS LTD
MEDKSB,KETO SOAP (BIG),HKS1142,23,11,1,176,119.32,1/1/2023,MED SUN LIFE SCIENCES         HYDERABAD,MED MANOR ORGANICS (GLORIA)
CBTT2,TEGRITAL 200MG TAB,210CPAO0,73,0,0,15.2,11.7,1/1/2023,NOVARTIS INDIA LIMITED        HYDERABAD,NOVARTIS (PRASAAR)
CBTT4,TEGRITAL 400MG TABS,202CPAN0,84,0,0,36.18,27.85,1/1/2023,NOVARTIS INDIA LIMITED        HYDERABAD,NOVARTIS (PRASAAR)
IPCALAR,LARIAGO AMP **,DS120003D,8,0,0,19,14.5,1/1/2023,PRUDHVI AGENCIES VIJAYAWADA,IPCA
GNTML,TELMA-H TABS 30`S,18200122,5,0,0,442,315.71,1/1/2023,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK),GLENMARK (ZOLTAN)
HOLSA,LASIX AMP,2120012,17,0,0,108.9,81.67,1/1/2023,SANOFI INDIA LIMITED          HYDERABAD,AVENTIS PHARMA
HMCTT,CYSTONE TAB,192000200,-1,0,0,125,85.93,1/1/2023,THE HIMALAYA DRUG COMPANY     HYDERABAD,THE HIMALAYA DRUG CO ( ZENITH)
UCUF8,UNICARBAZAN FORTE TABS,2FU5G001,100,0,0,30.5,21.79,1/1/2023,TORRENT PHARMACEUTICALS LTD   HYDERABAD,TORRENT (UVA)
VERFT,FEPANIL 650 TAB,FCTV20B07,168,10,2,30.23,21.59,1/1/2023,VERITAZ HEALTHCARE LIMITED    HYDERABAD,VERITAZ HEALTHCARE LIMITED
WLCMD,COLIMEX DROPS,CRR006A,16,19,1,40.8,29.14,1/1/2023,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,WALLACE PHARMA
CYAT5,ATEN 50MG TAB,I000557,120,0,0,27.39,19.56,1/1/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,ZYDUS CADILA
GMJNA,JONAC AMP,CJW1022,55,5,1,47.7,34.1,1/1/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,GERMAN REMADIES LTD
GMJNA,JONAC AMP,CJW1023,-55,5,1,47.7,34.1,1/1/2023,ZYDUS HEALTHCARE LIMITED      HYDERABAD,GERMAN REMADIES LTD
GRCC1,CANDID CREAM,11190327,32,0,0,91.73,65.52,1/1/2023,,GLENMARK PHARMA
CSB4R,BUDECORT 400MG R CAP,BA00215,25,0,0,164.37,117.41,31/12/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP MISC)
CIPD10,DYTOR 40MG TABS,SN00093,10,0,0,179.68,128.34,31/12/2022,CIPLA LIMITED  HYDERABAD,CIPLA(VITALIS 3)
CSF2I,FORACORT 200 CFC INH,SN00229,10,0,0,352.12,251.51,31/12/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 2)
GECZT,CETZINE TAB,EMV2000094,200,0,0,18.03,12.88,31/12/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(PRIDE)
N8,DILIGAN 25MG TABS,EMV1901778,26,0,0,158.4,113.14,31/12/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR REDDYYS (GRANDERA)
